,CITY,STATE,IBGE_DU,IBGE_DU_URBAN,IBGE_POP,IBGE_15-59,IDHM,LONG,LAT,GDP,GDP_CAPITA
3826,Piquete,SP,4428.0,4142.0,13121.0,8624.0,0.757,-45.18356942,-22.61116689,148416.2,10564.93
3827,Piracaia,SP,7825.0,7825.0,20157.0,13233.0,0.74,-46.3587552,-23.050499,443893.06,16537.87
3828,Piracanjuba,GO,8492.0,6184.0,17426.0,11246.0,0.721,-49.02456035,-17.30180972,741.48,29862.24
3829,Piracema,MG,2123.0,1022.0,3003.0,1951.0,0.65,-44.47847177,-20.50899586,100946.69,15369.47
3830,Piracicaba,SP,112809.0,110537.0,332888.0,224180.0,0.785,-47.64684624,-22.723722,21557.59,54656.57
3831,Piracuruca,PI,7744.0,5619.0,19437.0,12238.0,0.596,-41.70904155,-3.929287494,237764.13,8418.81
3832,Piraí,RJ,8051.0,6417.0,21958.0,14552.0,0.708,-43.89935119,-22.62875691,1982658.3,70587.38
3835,Piraju,SP,9298.0,8427.0,25496.0,16377.0,0.758,-49.38397449,-23.1929915,602190.79,20256.69
3836,Pirajuba,MG,1519.0,1355.0,4097.0,2736.0,0.723,-48.69663806,-19.90850491,245632.31,43359.63
3837,Pirajuí,SP,6544.0,6059.0,18074.0,11788.0,0.75,-49.45664243,-21.993447,395072.29,15954.78
3838,Pirambu,SE,2228.0,1252.0,4891.0,3060.0,0.603,-36.85974621,-10.74105616,102872.4,11239.2
3839,Piranga,MG,4582.0,1744.0,5899.0,3706.0,0.6,-43.28734555,-20.68514382,152616.12,8529.85
3840,Pirangi,SP,3387.0,3045.0,9464.0,6297.0,0.76,-48.66984193,-21.09963166,251809.0,22339.34
3841,Piranguçu,MG,1610.0,526.0,1721.0,1131.0,0.685,-45.4932717,-22.52649385,55059.86,10019.99
3842,Piranguinho,MG,2412.0,1498.0,4762.0,3066.0,0.72,-45.53473918,-22.41187307,97752.77,11429.06
3843,Piranhas,GO,4054.0,3276.0,9016.0,5817.0,0.721,-51.82180134,-16.42070644,352963.37,31821.44
